title,content
"How do I escalate an issue if AI chat cannot help?","[FILL: handoff to human agent via Damic inbox / phone]"
"What payment methods do you accept?","[FILL: cash, mada, card, bank transfer, corporate invoicing]"
"Do you issue official invoices / tax invoices (فاتورة)?","[FILL: VAT registration details if shareable]"
"What is your VAT / commercial registration number?","[FILL: only if you want this public in the AI knowledge base]"
"Who owns or manages Durrah Al Munawwara?","[FILL: optional public leadership blurb]"
"Do you hire drivers or operations staff? Where can I apply?","[FILL: careers page / email]"
"What makes Durrah Al Munawwara different from other transport companies?","[FILL: combine — established 2014, multi-sector (Hajj/Umrah, Yemen routes, worker transit), modern fleet including 2026 models, disability-friendly options, proprietary live-tracking and ops portals]"
"Can the AI help me book a trip directly?","[FILL: clarify AI scope — Q&A + quote request vs full booking]"
"I need a bus for my company employees every day. Who do I talk to?","Contact the Worker Transfer (نقل العمال) team. [FILL: sales email/phone]"
"I am arranging transport for a Hajj mission. Who do I contact?","Durrah Al Munawwara partners with international Hajj missions for high-volume pilgrim logistics. [FILL: missions / B2B contact]"
"I want to travel from Saudi Arabia to Yemen by bus. How do I start?","Daily long-haul international services operate between Saudi Arabia and regions in Yemen. [FILL: booking URL or office / phone]"
